route_id,stop_ids
092A,"['S5063', 'S5064', 'S5065', 'S5067', 'S5069', 'S5070', 'S5071', 'S5072']"
092B,"['S5076', 'S5077', 'S5078', 'S5079']"
093A,"['S391', 'S392', 'S393', 'S394', 'S395', 'S396', 'S397']"
093B,"['S402', 'S403', 'S405', 'S406', 'S408', 'S410', 'S411']"
094A,"['S414', 'S415', 'S417']"
094B,"['S421', 'S422', 'S423', 'S14', 'S427', 'S384', 'S385', 'S431']"
095A,"['S436', 'S437', 'S438', 'S440', 'S441', 'S442', 'S443', 'S444', 'S445', 'S446', 'S447']"
095B,"['S451', 'S453', 'S455', 'S456', 'S457', 'S458', 'S431']"
096A,"['S465', 'S466', 'S467', 'S468']"
096B,"['S242', 'S475', 'S243']"
098A,"['S480', 'S482']"
098B,"['S486', 'S487', 'S243']"
099A,"['S493', 'S494', 'S495']"
099B,"['S500', 'S501', 'S503', 'S504', 'S505']"
100A,"['S509', 'S494', 'S512', 'S514', 'S516', 'S517']"
100B,"['S503', 'S522', 'S523']"
102A,"['S528', 'S529', 'S530', 'S531', 'S532', 'S533']"
102B,"['S304', 'S539', 'S504', 'S543', 'S523']"
103A,"['S550', 'S551', 'S552', 'S553', 'S554', 'S555', 'S27', 'S557']"
103B,"['S561', 'S562', 'S563', 'S564', 'S566', 'S567', 'S569', 'S570']"
104A,"['S574', 'S575', 'S576', 'S414', 'S415', 'S415', 'S581', 'S582', 'S583', 'S585', 'S587', 'S588', 'S590', 'S591', 'S592', 'S593', 'S594', 'S595', 'S596']"
104B,"['S600', 'S601', 'S602', 'S603', 'S605', 'S606', 'S607', 'S608', 'S609', 'S611', 'S613', 'S614', 'S14', 'S14', 'S617', 'S380', 'S620', 'S385', 'S623']"
105A,"['S415', 'S417', 'S629', 'S630', 'S631', 'S633', 'S635', 'S636', 'S637']"
105B,"['S641', 'S642', 'S643', 'S645', 'S646', 'S647', 'S648', 'S649', 'S651', 'S352', 'S422', 'S14', 'S658', 'S659', 'S660', 'S620', 'S662', 'S623']"
107A,['S365']
107B,['S385']
112A,"['S676', 'S677', 'S678']"
112B,"['S682', 'S684']"
114A,"['S688', 'S690', 'S691', 'S436', 'S694', 'S695', 'S696', 'S698', 'S700', 'S701']"
114B,"['S705', 'S706', 'S378', 'S378', 'S709', 'S711', 'S385', 'S662', 'S715']"
116A,"['S719', 'S720', 'S722', 'S724', 'S725', 'S726', 'S727']"
116B,"['S731', 'S732', 'S733', 'S684', 'S243']"
117A,"['S739', 'S740', 'S722', 'S743', 'S744']"
117B,"['S748', 'S749', 'S750', 'S732', 'S752', 'S243']"
118A,"['S757', 'S758', 'S759', 'S760', 'S761', 'S762', 'S763', 'S764', 'S765', 'S766']"
118B,"['S770', 'S771', 'S772', 'S773', 'S774', 'S775', 'S775', 'S777', 'S779', 'S780', 'S781', 'S782', 'S783', 'S569', 'S785']"
120A,"['S789', 'S791', 'S792', 'S793', 'S794', 'S795', 'S796', 'S797']"
120B,"['S801', 'S802', 'S803', 'S804', 'S805', 'S805', 'S807', 'S808', 'S809', 'S300', 'S301', 'S302', 'S304', 'S815', 'S816', 'S817', 'S523', 'S819', 'S820', 'S821']"
121A,"['S825', 'S826', 'S828', 'S829', 'S830', 'S831', 'S832', 'S833', 'S834']"
121B,"['S838', 'S304', 'S539', 'S842', 'S306']"
122A,"['S847', 'S480', 'S482', 'S853', 'S855', 'S855', 'S855', 'S860', 'S861', 'S863', 'S864']"
122B,"['S868', 'S869', 'S870', 'S871', 'S872', 'S874', 'S876', 'S877', 'S879', 'S880', 'S881']"
123A,"['S436', 'S5063', 'S3284', 'S5064']"
123B,"['S3288', 'S3288', 'S5246', 'S5248', 'S5249', 'S709', 'S385', 'S431']"
139A,"['S885', 'S887', 'S888', 'S889', 'S890', 'S891', 'S892']"
139B,"['S896', 'S897', 'S898', 'S899']"
140A,"['S91', 'S904', 'S99', 'S100', 'S907', 'S908', 'S102']"
143A,"['S913', 'S914', 'S915']"
143B,"['S919', 'S920']"
144A,"['S925', 'S926', 'S927', 'S928', 'S929', 'S930']"
144B,"['S934', 'S936', 'S937', 'S920', 'S899', 'S941']"
146A,"['S945', 'S946', 'S947', 'S949', 'S950', 'S951', 'S952']"
146B,"['S956', 'S957', 'S958', 'S960', 'S962', 'S964', 'S965']"
147A,"['S969', 'S970', 'S971', 'S972', 'S973', 'S974', 'S975', 'S976']"
149A,"['S898', 'S981', 'S982', 'S925', 'S984', 'S985', 'S914', 'S987', 'S927', 'S928', 'S991', 'S992', 'S993']"
149B,"['S997', 'S998', 'S999', 'S1000', 'S1001', 'S937', 'S1003', 'S898', 'S1005', 'S899', 'S1007']"
155A,"['S1011', 'S1013', 'S1014', 'S1015', 'S925', 'S1018']"
155B,"['S1022', 'S1023', 'S1025']"
156A,"['S217', 'S205', 'S1032', 'S206']"
156B,"['S1037', 'S1038', 'S1039']"
157A,[]
157B,['S1038']
159A,"['S468', 'S1051', 'S1052']"
159B,"['S1056', 'S1057']"
163A,"['S1061', 'S1062', 'S1064', 'S1065', 'S1067', 'S1068', 'S1069', 'S1070', 'S1071']"
