stop_id,name,latitude,longitude,suburb_id
T1656,Terminal Fan Milk,5.628715038,-0.298109993,
T133,Terminal Accra Taxi Rank,5.54820013,-0.204589501,
T5073,Terminal Ashognman Estate,5.702394962,-0.235508002,
T4528,Terminal La Olympia Station,5.559885025,-0.157933503,
T2244,Terminal Adjiringanor Station,5.677074909,-0.125028998,
T5668,Terminal Agape Station,5.609200001,-0.329638004,
T418,Terminal Fise Junction,5.698420048,-0.29216601,
T1994,Terminal Nyamekye,5.601850033,-0.258944005,
T1360,Terminal Fadama Last Stop,5.598464966,-0.247615501,
T5922,Terminal Gbawe Station,5.576654911,-0.3095745,
T1246,Terminal Bubiashie Atico,5.57972002,-0.246829994,
T1401,Terminal New Melcom,5.584670067,-0.221954994,
T2368,Terminal Hansonic,5.574454784,-0.252703503,
T2741,Terminal New Russia,5.558350086,-0.256927997,
T4204,Terminal Official Town,5.595479965,-0.259362504,
T597,Terminal Adusa Quarters,5.734984875,-0.2720135,
T1181,Terminal Bishop Station,5.543280125,-0.204909004,
T7,Terminal Ashalaja,5.663660049,-0.3666085,
T1048,Terminal Alajo Junction,5.590865135,-0.217518501,
T2313,Terminal Glefe,5.521759987,-0.273747504,
T1684,Terminal Manhean Station,5.642374992,-0.345703989,
T4214,Terminal Sakaman,5.575795174,-0.274351493,
T1763,Terminal Weija Station,5.572400093,-0.337379009,
T2197,Terminal Circle Odor Rise,5.573064804,-0.215425499,
T1345,Terminal Asore Danho,5.569630146,-0.255852997,
T5593,Terminal Abeka Station,5.600790024,-0.239175007,
T2619,Terminal Bus Stop 278,5.565299988,-0.230823994,
T2684,Terminal Agyapaye Station,5.596529961,-0.236970007,
T1874,Terminal Last Stop (SSNIT Market),5.564050198,-0.270419002,
T37,Terminal Abeka Main Markt,5.607719898,-0.245403007,
T1161,Terminal Banana Inn Laststop,5.53414011,-0.240858003,
T5754,Terminal 5 Haatso station,5.667039871,-0.204694003,
T349,Terminal Kuntunse - Satelite,5.746930122,-0.318673998,
T5090,Terminal SSNIT Flat Station,5.564199924,-0.273288995,
T1098,Terminal Ordorkor,5.580430031,-0.263660014,
T20,Terminal Abeka lapaz,5.600550175,-0.238787994,
T2116,Terminal Mallam Junction,5.571020126,-0.285654008,
T4872,Terminal Banana Inn Taxi Station,5.543839931,-0.259144992,
T201,Terminal Accra Newtown,5.581530094,-0.209030002,
T317,Terminal Station 082,5.657050133,-0.131606996,
T2478,Terminal Chorkor Station,5.526199818,-0.250542015,
T5343,Terminal D.K. Last stop,5.695660114,-0.248373002,
T685,Terminal Achimota Old Station,5.616899967,-0.229515001,
T5938,Terminal Lapaz Station-Mahean Afuaman,5.627319813,-0.314639986,
T6170,Terminal Tema Main Habour Round About,5.639160156,0.003866,
T2496,Terminal Korle bu Station,5.533959866,-0.236200005,
T977,Terminal Tema Newtown Terminal,5.651340008,0.024435,
T2342,Terminal Haasto,5.667220116,-0.204611003,
T6061,Terminal Sotuom VRA,5.631390095,-0.297852993,
T2695,Terminal North Industrial Area,5.586589813,-0.228472993,
T3908,Terminal Agbobloshie Station No. 2,5.551459789,-0.219162002,
T767,Terminal Teshie Nungua,5.602019787,-0.079204001,
T1180,Terminal Banana Inn,5.542290211,-0.255874008,
T5772,Terminal H,5.606619835,-0.249810994,
T1895,Terminal Anyaa Market Station,5.59841013,-0.290522993,
T2596,Terminal C,5.530950069,-0.250330001,
T5561,Terminal Abeka Station near Market,5.600880146,-0.239247993,
T3193,Terminal Lomnava Station,5.63572979,-0.278678,
T3110,Terminal Accra Novotel,5.553909779,-0.204904005,
T1215,Terminal Ayigbe Town,5.583000183,-0.240306005,
T5242,Terminal B,5.657599926,-0.237396002,
T5735,Terminal Last stop,5.600629807,-0.292167991,
T4065,Terminal D,5.706099987,-0.165349007,
T3182,Terminal Ashaiman Overhead,5.682209969,-0.025216,
T5344,Terminal Kwabenya,5.693600178,-0.248557001,
T2021,Terminal Baweleshi,5.64180994,-0.167132005,
T5296,Terminal G,5.601378918,-0.240334004,
T1789,Terminal Accra CMB 2,5.560070038,-0.232293993,
T2694,Terminal Old Melcom 2,5.58739996,-0.226945996,
T5559,Terminal Accra UTC Taxi Rank,5.547049999,-0.210448995,
T5685,Terminal F,5.64233017,-0.210306004,
T350,Terminal A,5.735479832,-0.314134985,
