route_id,name,distance_km
155A,Kanashie Mkt Cmplx to Akoto Lante,3.7683861197038597
155B,Akoto Lante to Kaneshie Mkt Cmplx,3.8299704787795137
156A,Alajo Taxi Rank to Accra CMB,4.9797635070705795
156B,Accra CMB to Alajo Taxi Rank,4.9797635070705795
157A,Alajo Taxi Rank to Circle,2.9355149224548094
157B,Circle Lido to Alajo Taxi Rank,2.7632272169220173
159A,Alajo Junction to Kotobabi Police Station,1.4192578270416067
159B,Kotobabi Police Station to Alajo Junction,1.4192578270416067
163A,Apapa Station to Accra New Tema Station,4.685506461586638
163B,Accra New Tema Station to Apapa Station,4.685506461586638
164A,Arena Station to Kanashie Mkt Cmplx,3.0406718969952737
164B,Kaneshie Mkt Cmplx to Arena Station,3.1089101112032744
165A,Arena Station to Ordorkor,6.560493905980098
165B,Odorkor Station to Arena Station,6.605905353456409
166A,Arena Station to Russia,4.277938005653236
166B,Russia to Arena Station,4.277938005653236
167A,Atico to Kaneshie Mkt Cmplx,1.7818973142911112
167B,Kaneshie Mkt Cmplx to Atico,1.7818973142911112
170A,Banana Inn Station to Accra Post Office,5.2034055393100935
170B,Accra Post Office to Banana Inn Laststop,3.5915917365810763
172A,Banana Inn Station to Accra New Tema Station,6.075246508000088
172B,Tema Station to Banana Inn,6.1439124436224715
173A,Bishop Station to Cantonments Station,5.387900528940517
173B,Cantonments Station to Bishop Station,5.387900528940517
174A,Bubiashie Ayigbe Town to Circle Odorna Station,3.136275482282281
174B,Bubiashie Atico Station to Ayigbe Town,2.915356143906898
175A,Bubiashie Station to Circle Odorna Station,2.8218348633831383
175B,Bubiashie Atico Station to Bubiashie Station,2.705580898752634
176A,Bubiashie Atico to Circle Odorna Station,3.543130671725317
176B,Bubiashie Atico Station to Bubiashie Atico,3.425184594488628
177A,Bubiashie Ayigbe Town to Accra CMB,4.79594922697423
177B,Accra CMB to Bubiashie Ayigbe Town,4.79594922697423
178A,Bubiashie Control to Kaneshie Mkt Cmplx,1.4892343312214495
178B,Kaneshie Mkt Cmplx to Bubiashie Control,1.4892343312214495
185A,Chorkor Station to Agbobloshie Station,4.566075994132442
185B,Agbobloshie Station to Chorkor Station,4.566075994132442
186A,Circle Opps. Vodafone to Abelemkpe Station,3.8613515978169524
186B,Abelemkpe Station to Circle,4.247015592196515
188A,Circle Odorna Station to Asore Danho,4.3579229237590695
188B,Asore Danho to Circle,4.423862470941006
192A,Circle Odorna Station to Fadama Last Stop,4.710105142346296
192B,Fadama Last Stop to Circle,4.778657684135001
193A,Circle Odorna Station to Immesco,2.7850668400189833
193B,Immesco to Circle,2.847520998336607
196A,Circle Lido to Kotobabi Down Station,2.8028032400713063
196B,Kotobabi Down Station to Circle,3.0478179774986494
200A,Circle Odorna Station to New Melcom,1.783104459520281
200B,New Melcom to Circle,1.834286653470221
201A,Circle Opps. Vodafone to New Town Timber Market,1.449436224215217
201B,New Town Timber Market to Circle Opps. Vodafone,1.449436224215217
202A,UTC Station to Novotel,1.7624762310885003
202B,Novotel to Circle,1.8153708282183876
203(1)A,Circle Odorna Station to Orgle Road Station,2.6586279921630322
203(1)B,Orgle Road Station to Circle,2.7285841386074168
203(2)A,Circle Odorna Station to Orgle Road Station,2.6586279921630322
203(2)B,Orgle Road Station to Circle,2.7285841386074168
204A,UTC Station to Osu Blow Up,3.903014016557774
204B,Osu Blow Up to Circle,3.926506121387196
205A,UTC Station to Osu RE,3.8638667826700814
205B,Osu RE to Circle,3.874401246956974
206A,UTC Station to Osu RE,3.8638667826700814
206B,Osu RE to Circle,3.874401246956974
207A,Circle Coporative Station to Ridge Hospital,1.7567296193751898
207B,Ridge Hospital to Circle Coporative Station,1.7567296193751898
208A,UTC Station to Osu Blow Up,3.903014016557774
208B,Osu Blow Up to UTC Station,3.903014016557774
209A,Circle Odorna Station to Swanlake Laststop,2.524687656725392
209B,Swanlake Laststop to Circle,2.5945091717158486
210A,Circle Near Las Palmas (PROTOA) to Teachers Hall,1.7554685198204358
210B,Teachers Hall to Circle,1.550495704022367
211A,Circle Overhead Station to Tema Main Station,25.71793301875948
211B,Tema C'mty One to Circle,25.52101380963075
212A,Circle Coporative Station to Accra New Tema Station,2.6851876375698756
212B,Tema Station to Circle,2.819197770549486
214A,Circle Coporative Station to WAEC,1.760230392208073
214B,WAEC to Circle Coporative Station,1.760230392208073
216A,Circle Lido to Abeka lapaz,5.480579087749616
216B,Abeka lapaz to Circle,5.4604432231595
219A,Circle Lido to Abeka lapaz,5.480579087749616
219B,Abeka lapaz to Circle,5.4604432231595
221A,Circle Overhead (Maame Dokono) to Madina Station,12.699543859559283
221B,Madina Station to Circle Overhead (Maame Dokono),12.699543859559283
222A,Lido Terminal (Circle Overhead) to Maamobi-Nima Terminal,3.228015684981563
222B,Maamobi-Nima Terminal to Lido Terminal (Circle Overhead),3.228015684981563
223A,Accra CMB to Ablekuma,15.237991167072435
223B,Ablekuma to Accra CMB,15.237991167072435
224A,Accra CMB to Alajo Taxi Rank,4.9797635070705795
224B,Alajo Taxi Rank to Accra CMB,4.9797635070705795
225A,Accra CMB to Fan Milk,12.77118954007357
225B,Fan Milk to Accra CMB,12.77118954007357
226A,Circle Odor Rise to Pig Farm Station,3.352002621742085
226B,Pig Farm Station to Kokomlemle,3.27774012415786
227A,Accra CMB to Manhean Station,17.847085205338036
227B,Manhean Station to Accra CMB,17.847085205338036
228A,Accra CMB to Odorkor Station,6.521343994315491
228B,Odorkor Station to Accra CMB,6.521343994315491
230A,Accra CMB to Omanjor Station,13.338111873129597
230B,Omanjor Station to Accra CMB,13.338111873129597
231A,Accra CMB to Weija Station,13.961210402939633
231B,Weija Station to Accra CMB,13.961210402939633
232A,Accra CMB to Madina Station,14.65588160059652
232B,Madina Station to Accra CMB 2,14.552674486888526
235A,Dansoman Laststop to Achimota Station,10.986777574848052
235B,Achimota to Dansoman Laststop,11.017495816462924
236A,Agege to Arena Station,5.567251370660237
236B,Arena Station to Last Stop (SSNIT Market),6.373694386894211
237A,Dansoman Laststop to Anyaa Market Station,8.096292827241836
237B,Anyah Station to Dansoman Laststop,8.174113212991825
238A,Dansoman Laststop to Circle Odorna Station,6.956789528114208
238B,Circle to Dansoman Laststop,6.989280037637873
239A,Dansoman Laststop to Mallam Station,5.697773344880431
239B,Mallam Station to Dansoman Laststop,5.697773344880431
240A,240A,8.098810968660596
240B,Nyamekye to Dansoman Laststop,8.009408771916773
241A,Circle Overhead Station to Baweleshi,9.788031283418132
241B,Bawalashie to Circle,9.769841723998352
242A,Dansoman Laststop to Odorkor Station,5.664975234320678
242B,Odorkor Station to Dansoman Laststop,5.664975234320678
243A,Dansoman Laststop to Santa Maria,8.439460181964499
243B,Santa Maria to Dansoman Laststop,8.439460181964499
244A,Agege to New Tema Station,7.1922465886898435
244B,New Tema Station to Dansoman Laststop,7.338748951306557
246A,Dansoman Laststop to Mallam Junction,5.081861305507864
246B,Mallam Station to Dansoman Laststop,5.697773344880431
247A,Darkuman Station to Agbogbloshie Station No. 2,5.326145789461324
247B,Agbogbloshie Station No. 2 to Darkuman Station,5.326145789461324
248A,Darkuman Station to Accra CMB,5.888828216566354
248B,Accra CMB to Darkuman Station,5.888828216566354
249A,Darkuman Station to Kaneshie Mkt Cmplx,3.052221383571925
249B,Kaneshie Mkt Cmplx to Darkuman,2.481226695864192
251A,Darkuman Station to Accra Post Office,6.950381228160729
251B,Accra Post Office to Darkuman Station,6.950381228160729
254A,Dzorwulu Station to Kokomlemle,5.353639335919648
254B,Circle Odor Rise to Dzorwulu Station,5.425451089365427
255A,East Legon to Circle Odorna Station,11.374143294581247
255B,Circle Odorna Station to East Legon,11.374143294581247
256A,Adjiringanor Station to Accra New Tema Station,16.61305419863206
256B,Accra New Tema Station to Adjiringanor Station,16.61305419863206
260A,Ebenezer to Accra Bishop,7.3931517665054045
260B,Accra Bishop to Ebenezer,7.3931517665054045
262A,Glefe to Accra Bishop,8.011375251992131
262B,Accra Bishop to Glefe,8.011375251992131
263A,Darkuman to Haasto,11.427208253418131
263B,Haatso to Darkuman,11.432027816652347
264A,Hansonic to Dansoman Laststop,5.1238858578089195
264B,Dansoman Laststop to Hansonic,5.1238858578089195
265A,Kaneshie Mkt Cmplx to Sukura Station,2.251121129864916
265B,Sukura Station to Kaneshie Mkt Cmplx,2.251121129864916
266A,Kaneshie Mkt Cmplx to Afropa,3.071121660893332
266B,Afropa to Kaneshie Mkt Cmplx,3.071121660893332
267A,Kaneshie Mkt Cmplx to Soko Station,2.845545726868066
267B,Soko Station to Kaneshie Mkt Cmplx,2.845545726868066
269A,Kaneshie Mkt Cmplx to Bubiashie Station,1.7502489981985612
269B,Bubiashie Station to Kaneshie Mkt Cmplx,1.7502489981985612
270A,Kaneshie Mkt Cmplx to Camara Station,3.8281743949184697
270B,Camara Station to Kaneshie Mkt Cmplx,3.8281743949184697
271A,Kaneshie Mamprobi Station to Chorkor Station,4.525528514260041
271B,Chorkor Station to Kaneshie Mamprobi Station,4.523072420059573
273A,Kaneshie Mamprobi Station to Korle bu Station,3.3712001839432126
273B,Korle Bu Station to Kaneshie Mamprobi Station,3.1279314846621125
274A,Kaneshie Mkt Cmplx to Maamobi-Nima Terminal,5.510674506179793
274B,Maamobi-Nima Terminal to Kaneshie Mkt Cmplx,5.510674506179793
275A,Kaneshie Mkt Cmplx to Adenta Station,17.23723099210171
275B,Adenta Station to Kaneshie Mkt Cmplx,17.23723099210171
276A,Kaneshie Mamprobi Station to Mamponse Station,5.3713056623508235
276B,Mamponse Station to Kaneshie Mkt Cmplx,5.4508518047335714
277A,277A,4.0166512417113776
277B,C to Kaneshie Mamprobi Station,4.026419937043629
278A,Kanashie Mkt Cmplx to New Town Station,3.739809080382578
278B,New Town Station to Bus Stop 278,3.371956519181533
281A,Kaneshie Mkt Cmplx to Russia,2.2833820441258057
281B,Russia to Kaneshie Mkt Cmplx,2.2833820441258057
282A,Kaneshie Mamprobi Station to Shalom Station,3.924199970363111
282B,Shalom Station to Kaneshie Mkt Cmplx,4.009495385179989
283A,Kaneshie Mkt Cmplx to Makola Tudu,3.754684390198583
283B,Makola Tudu to Kaneshie Mkt Cmplx,3.754684390198583
284A,Kaneshie Mkt Cmplx to Agyapaye Station,3.499938856643425
286A,Kaneshie Mkt Cmplx to New Fadama,4.040712407019431
286B,New Fadama to Kaneshie Mkt Cmplx,4.040712407019431
287A,Kaneshie Mkt Cmplx to Old Melcom 2,2.674098083704287
287B,North Industrial Area to Kaneshie Mkt Cmplx,2.530703551549903
288A,Kaneshie Mkt Cmplx to Swanlake Laststop,2.119680667313268
288B,Swanlake Laststop to Kaneshie Mkt Cmplx,2.119680667313268
290A,Kaneshie Mkt Cmplx to Dansoman Laststop,5.064203973981174
290B,Dansoman Laststop to Kaneshie Mkt Cmplx,5.064203973981174
291A,Kaneshie Mkt Cmplx to Korle Bu Station,3.211039442758065
291B,Korle Bu Station to Kaneshie Mkt Cmplx,3.211039442758065
293A,Kaneshie Mkt Cmplx to Mamprobi C. Lante,4.433359670872218
293B,Mamprobi C. Lante to Kaneshie Mkt Cmplx,4.433359670872218
295A,Kaneshie Mkt Cmplx to New Russia,2.4420847416061666
295B,New Russia to Kaneshie Mkt Cmplx,2.4420847416061666
296A,Kaneshie Mkt Cmplx to Russia,2.2833820441258057
296B,Russia to Kaneshie Mkt Cmplx,2.2833820441258057
298A,Dzorwulu Station to Kokomlemle,5.353639335919648
298B,Kokomlemle to Dzorwulu Station,5.353639335919648
299A,Korle Bu Station to Abeka lapaz,8.070290629847015
299B,Abeka lapaz to Korle Bu Station,8.070290629847015
300A,Korle Bu Station to Abeka lapaz,8.070290629847015
300B,Abeka lapaz to Korle Bu Station,8.070290629847015
301A,Korle Bu Station to Kasoa Station,21.343869502490715
302A,Korle Bu Station to Kwashieman Station,7.4426238073056314
302B,Kwashieman Station to Korle Bu Station,7.4426238073056314
303A,Korle Bu Station to Mallam Station,7.79924153431214
303B,Mallam Station to Korle Bu Station,7.79924153431214
305A,305A,4.452616369061513
305B,305B,4.453463951957918
306A,Korle Bu Station to Darkuman Station,6.1252496305487005
307A,Kotobabi Down Station to 37 Station,3.346084025645753
307B,37 Station to Kotobabi Down Station,3.346084025645753
308A,Kotobabi Down Station to Accra CMB,5.0025054060891625
308B,Accra CMB to Kotobabi Down Station,5.0025054060891625
309A,Kotobabi Down Station to Circle Lido,2.8028032400713063
309B,Circle Lido to Kotobabi Down Station,2.8028032400713063
310A,Kotobabi Down Station to Abeka lapaz,4.380610110148384
310B,Abeka lapaz to Kotobabi Down Station,4.380610110148384
311A,Kotobabi Down Station to Accra New Tema Station,5.321324245727026
311B,Accra New Tema Station to Kotobabi Down Station,5.321324245727026
313A,Kwashieman Station to A-Lang Station,1.2570724169677563
313B,A-Lang Station to Kwashieman Station,1.2570724169677563
314A,Kwashieman Station to Achimota Station,5.65714347407915
314B,Achimota to Kwashieman Station,5.664033393886183
317A,Kwashieman Station to Abeka lapaz,2.881663070465337
317B,Abeka lapaz to Kwashieman Station,2.881663070465337
318A,Kwashieman Station to Madina Station,14.164079709251798
321A,Kwashieman Station to Tema Habour,30.476503826114776
321B,321B,28.19167264808649
322A,Kwashieman Station to Accra CMB,7.629423050829961
322B,Accra CMB to Kwashieman Station,7.629423050829961
324A,Kwashieman Station to Auntie Aku station,2.846866589811767
324B,Auntie Aku station to Kwashieman Station,2.846866589811767
325A,Kwashieman Station to Santa Maria,1.67084951492799
325B,Santa Maria to Kwashieman Station,1.67084951492799
326A,Kwashieman Station to Sowutuom Station,3.8582847463608063
326B,Sowutuom Station to Kwashieman Station,3.8582847463608063
328A,Kwashieman Station to Rawlings Park,8.478714044289738
